player_name,match_date,opponent_team,venue,runs_scored,balls_faced,strike_rate,fours,sixes
AB de Villiers,2015-07-03,Delhi Capitals,"Wankhede Stadium, Mumbai",35,27,129.63,3,2
Sanju Samson,2015-07-03,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",20,17,117.65,2,1
KL Rahul,2015-07-09,Rajasthan Royals,"IS Bindra Stadium, Mohali",53,42,126.19,5,3
Virat Kohli,2015-07-09,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",41,31,132.26,2,1
Glenn Maxwell,2015-07-21,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",13,13,100.0,1,0
Virat Kohli,2015-07-21,Mumbai Indians,"Wankhede Stadium, Mumbai",39,31,125.81,3,2
Shubman Gill,2015-07-24,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",56,46,121.74,7,1
AB de Villiers,2015-07-24,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",45,33,136.36,4,3
AB de Villiers,2015-07-24,Rajasthan Royals,"DY Patil Stadium, Mumbai",90,57,157.89,7,7
Dinesh Karthik,2015-07-24,Delhi Capitals,"M.A. Chidambaram Stadium, Chennai",13,10,130.0,1,0
Rishabh Pant,2015-07-24,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",6,1,600.0,0,0
Kieron Pollard,2015-07-27,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",25,20,125.0,1,1
Suresh Raina,2015-07-30,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",29,21,138.1,2,0
Shubman Gill,2015-08-02,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",19,10,190.0,2,1
Ishan Kishan,2015-08-02,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",59,48,122.92,6,2
Sanju Samson,2015-08-02,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",0,1,0.0,0,0
Andre Russell,2015-08-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",0,2,0.0,0,0
Hardik Pandya,2015-08-05,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",24,20,120.0,1,0
Sanju Samson,2015-08-05,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",29,19,152.63,1,2
Faf du Plessis,2015-08-08,Punjab Kings,"IS Bindra Stadium, Mohali",28,20,140.0,2,2
Dinesh Karthik,2015-08-11,Chennai Super Kings,"IS Bindra Stadium, Mohali",47,27,174.07,2,1
Dinesh Karthik,2015-08-14,Delhi Capitals,"Arun Jaitley Stadium, Delhi",25,20,125.0,3,1
KL Rahul,2015-08-17,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",0,1,0.0,0,0
Dinesh Karthik,2015-08-17,Delhi Capitals,"Arun Jaitley Stadium, Delhi",0,1,0.0,0,0
Glenn Maxwell,2015-08-17,Sunrisers Hyderabad,"Eden Gardens, Kolkata",33,19,173.68,1,3
Quinton de Kock,2015-08-20,Mumbai Indians,"Eden Gardens, Kolkata",48,32,150.0,4,2
AB de Villiers,2015-08-20,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",72,48,150.0,4,1
KL Rahul,2015-08-20,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",54,41,131.71,7,1
Quinton de Kock,2015-08-23,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",35,26,134.62,3,3
Dinesh Karthik,2015-08-26,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",32,22,145.45,4,1
David Warner,2015-08-29,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",5,5,100.0,0,0
Sanju Samson,2015-08-29,Delhi Capitals,"DY Patil Stadium, Mumbai",8,2,400.0,1,0
Hardik Pandya,2015-09-01,Delhi Capitals,"Wankhede Stadium, Mumbai",39,25,156.0,2,2
Shubman Gill,2015-09-04,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",50,38,131.58,4,4
Dinesh Karthik,2015-09-04,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",35,25,140.0,2,1
MS Dhoni,2015-09-07,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",48,39,123.08,6,3
Dinesh Karthik,2015-09-10,Kolkata Knight Riders,"Eden Gardens, Kolkata",35,25,140.0,1,2
KL Rahul,2015-09-10,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",19,18,105.56,2,0
David Warner,2015-09-10,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",30,25,120.0,3,2
Sanju Samson,2015-09-13,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",24,12,200.0,2,2
Faf du Plessis,2015-09-13,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",20,17,117.65,2,0
Andre Russell,2015-09-13,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",29,20,145.0,3,2
Sanju Samson,2015-09-16,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",47,35,134.29,5,2
Shubman Gill,2015-09-16,Chennai Super Kings,"DY Patil Stadium, Mumbai",29,24,120.83,3,0
Rishabh Pant,2015-09-22,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",46,32,143.75,5,2
David Warner,2015-09-22,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",16,6,266.67,1,0
Shubman Gill,2015-09-22,Royal Challengers Bangalore,"Eden Gardens, Kolkata",51,43,118.6,4,2
Andre Russell,2015-09-22,Mumbai Indians,"DY Patil Stadium, Mumbai",19,7,271.43,1,1
Ishan Kishan,2015-09-25,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",46,36,127.78,6,3
MS Dhoni,2015-09-28,Mumbai Indians,"Eden Gardens, Kolkata",38,32,118.75,3,1
Rishabh Pant,2015-09-28,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",45,33,136.36,5,4
MS Dhoni,2015-10-01,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",91,68,133.82,9,6
Suresh Raina,2015-10-01,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",52,35,148.57,3,5
KL Rahul,2015-10-07,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",77,58,132.76,7,6
AB de Villiers,2015-10-10,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",103,65,158.46,12,7
Hardik Pandya,2015-10-10,Punjab Kings,"IS Bindra Stadium, Mohali",17,8,212.5,1,1
Andre Russell,2015-10-10,Punjab Kings,"M.A. Chidambaram Stadium, Chennai",49,23,213.04,5,2
KL Rahul,2015-10-10,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",50,40,125.0,6,1
Virat Kohli,2015-10-13,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",59,40,147.5,6,1
Faf du Plessis,2015-10-16,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",53,42,126.19,4,1
Dinesh Karthik,2015-10-19,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",48,31,154.84,2,4
Rishabh Pant,2015-10-19,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",14,6,233.33,1,1
David Warner,2015-10-25,Delhi Capitals,"DY Patil Stadium, Mumbai",25,19,131.58,3,2
Hardik Pandya,2015-10-25,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",24,15,160.0,1,1
Shubman Gill,2015-10-25,Delhi Capitals,"Arun Jaitley Stadium, Delhi",22,15,146.67,2,1
Faf du Plessis,2015-10-25,Kolkata Knight Riders,"Eden Gardens, Kolkata",7,2,350.0,0,0
Andre Russell,2015-10-28,Punjab Kings,"DY Patil Stadium, Mumbai",29,15,193.33,3,1
Rishabh Pant,2015-10-28,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",4,1,400.0,0,0
KL Rahul,2015-10-28,Delhi Capitals,"Wankhede Stadium, Mumbai",57,40,142.5,4,4
David Warner,2015-10-31,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",67,45,148.89,9,6
KL Rahul,2015-10-31,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",64,48,133.33,4,5
Hardik Pandya,2015-10-31,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",29,19,152.63,1,1
Shubman Gill,2015-10-31,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",56,44,127.27,5,1
Rishabh Pant,2015-11-03,Kolkata Knight Riders,"IS Bindra Stadium, Mohali",84,55,152.73,10,4
AB de Villiers,2015-11-03,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",54,29,186.21,7,5
Quinton de Kock,2015-11-06,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",48,37,129.73,4,2
Andre Russell,2015-11-06,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",62,34,182.35,7,6
Ambati Rayudu,2015-11-09,Punjab Kings,"Eden Gardens, Kolkata",32,19,168.42,3,1
Glenn Maxwell,2015-11-12,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",0,3,0.0,0,0
Suresh Raina,2015-11-15,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",44,36,122.22,2,2
Virat Kohli,2015-11-15,Delhi Capitals,"Arun Jaitley Stadium, Delhi",42,28,150.0,4,2
Dinesh Karthik,2015-11-18,Mumbai Indians,"Arun Jaitley Stadium, Delhi",20,16,125.0,1,1
Kieron Pollard,2015-11-24,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",61,44,138.64,5,3
Faf du Plessis,2015-11-24,Rajasthan Royals,"DY Patil Stadium, Mumbai",32,22,145.45,2,3
Faf du Plessis,2015-11-24,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",51,42,121.43,5,2
Ambati Rayudu,2015-11-27,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",0,1,0.0,0,0
Kieron Pollard,2015-11-27,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",27,12,225.0,1,2
Glenn Maxwell,2015-11-30,Delhi Capitals,"Eden Gardens, Kolkata",51,27,188.89,3,4
Shubman Gill,2015-11-30,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",58,44,131.82,6,2
Kieron Pollard,2015-12-03,Mumbai Indians,"Eden Gardens, Kolkata",23,18,127.78,2,0
Kieron Pollard,2015-12-03,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",34,24,141.67,3,1
Rishabh Pant,2015-12-06,Sunrisers Hyderabad,"Eden Gardens, Kolkata",68,40,170.0,5,4
Shubman Gill,2015-12-06,Rajasthan Royals,"DY Patil Stadium, Mumbai",24,13,184.62,1,2
Andre Russell,2015-12-06,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",17,14,121.43,2,0
Virat Kohli,2015-12-09,Sunrisers Hyderabad,"Eden Gardens, Kolkata",50,41,121.95,4,4
AB de Villiers,2015-12-09,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Andre Russell,2015-12-09,Punjab Kings,"Eden Gardens, Kolkata",32,16,200.0,1,0
Shubman Gill,2015-12-12,Punjab Kings,"Eden Gardens, Kolkata",7,1,700.0,0,0
Shubman Gill,2015-12-12,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",8,10,80.0,0,0
Virat Kohli,2015-12-12,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",73,51,143.14,9,3
Dinesh Karthik,2015-12-12,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",43,34,126.47,5,2
Ishan Kishan,2015-12-12,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",47,38,123.68,5,3
Faf du Plessis,2015-12-12,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",34,25,136.0,2,1
Ishan Kishan,2015-12-15,Rajasthan Royals,"Eden Gardens, Kolkata",41,31,132.26,2,2
KL Rahul,2015-12-15,Kolkata Knight Riders,"Eden Gardens, Kolkata",61,42,145.24,7,3
Rishabh Pant,2015-12-18,Mumbai Indians,"M.A. Chidambaram Stadium, Chennai",66,41,160.98,3,4
Faf du Plessis,2015-12-18,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",63,46,136.96,7,2
Glenn Maxwell,2015-12-18,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",4,1,400.0,0,0
Faf du Plessis,2015-12-24,Mumbai Indians,"Arun Jaitley Stadium, Delhi",16,14,114.29,1,0
Glenn Maxwell,2015-12-24,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",36,20,180.0,3,3
Shubman Gill,2015-12-27,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",0,5,0.0,0,0
Sanju Samson,2015-12-27,Punjab Kings,"Wankhede Stadium, Mumbai",6,9,66.67,0,0
Hardik Pandya,2016-01-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",22,17,129.41,2,0
Jos Buttler,2016-01-02,Kolkata Knight Riders,"Eden Gardens, Kolkata",37,20,185.0,2,2
Dinesh Karthik,2016-01-08,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",11,7,157.14,1,0
Rishabh Pant,2016-01-11,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",57,42,135.71,4,5
MS Dhoni,2016-01-11,Chennai Super Kings,"Wankhede Stadium, Mumbai",37,29,127.59,2,3
Sanju Samson,2016-01-11,Royal Challengers Bangalore,"Eden Gardens, Kolkata",21,15,140.0,1,1
AB de Villiers,2016-01-14,Rajasthan Royals,"DY Patil Stadium, Mumbai",64,36,177.78,8,1
Virat Kohli,2016-01-14,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",79,58,136.21,4,3
KL Rahul,2016-01-14,Delhi Capitals,"Wankhede Stadium, Mumbai",21,19,110.53,2,1
Jos Buttler,2016-01-20,Delhi Capitals,"IS Bindra Stadium, Mohali",32,24,133.33,4,1
Quinton de Kock,2016-01-20,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",41,27,151.85,6,1
David Warner,2016-01-26,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",41,27,151.85,5,3
Dinesh Karthik,2016-01-26,Mumbai Indians,"Wankhede Stadium, Mumbai",54,41,131.71,6,2
Ishan Kishan,2016-01-26,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",17,14,121.43,0,0
Quinton de Kock,2016-01-26,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",19,19,100.0,1,0
Suresh Raina,2016-01-29,Chennai Super Kings,"IS Bindra Stadium, Mohali",29,24,120.83,3,2
Kieron Pollard,2016-01-29,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",44,30,146.67,5,2
Sanju Samson,2016-01-29,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",0,3,0.0,0,0
Andre Russell,2016-02-01,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",20,7,285.71,2,0
Rohit Sharma,2016-02-01,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",77,64,120.31,4,6
Jos Buttler,2016-02-01,Kolkata Knight Riders,"IS Bindra Stadium, Mohali",57,42,135.71,3,3
Ishan Kishan,2016-02-04,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",49,36,136.11,6,2
Kieron Pollard,2016-02-04,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",0,2,0.0,0,0
Andre Russell,2016-02-04,Rajasthan Royals,"Wankhede Stadium, Mumbai",10,8,125.0,0,0
Hardik Pandya,2016-02-04,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",18,12,150.0,1,1
Ambati Rayudu,2016-02-07,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",9,10,90.0,0,0
Ambati Rayudu,2016-02-07,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Dinesh Karthik,2016-02-10,Mumbai Indians,"Eden Gardens, Kolkata",17,7,242.86,1,1
Rishabh Pant,2016-02-10,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",5,3,166.67,0,0
Hardik Pandya,2016-02-13,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",32,19,168.42,3,1
Rohit Sharma,2016-02-16,Punjab Kings,"IS Bindra Stadium, Mohali",27,15,180.0,2,2
David Warner,2016-02-16,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",42,25,168.0,3,3
Dinesh Karthik,2016-02-16,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",0,3,0.0,0,0
Ishan Kishan,2016-02-19,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",23,20,115.0,2,0
Virat Kohli,2016-02-22,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",43,31,138.71,5,1
Ishan Kishan,2016-02-22,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",26,20,130.0,3,1
David Warner,2016-02-22,Delhi Capitals,"Arun Jaitley Stadium, Delhi",47,38,123.68,3,1
Dinesh Karthik,2016-02-22,Delhi Capitals,"Eden Gardens, Kolkata",2,1,200.0,0,0
Rohit Sharma,2016-02-25,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",40,33,121.21,3,2
Sanju Samson,2016-02-25,Rajasthan Royals,"M.A. Chidambaram Stadium, Chennai",63,42,150.0,5,4
Kieron Pollard,2016-02-25,Kolkata Knight Riders,"Eden Gardens, Kolkata",45,29,155.17,5,3
Rishabh Pant,2016-02-28,Delhi Capitals,"Eden Gardens, Kolkata",0,2,0.0,0,0
Andre Russell,2016-02-28,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",24,9,266.67,3,1
Hardik Pandya,2016-02-28,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",50,37,135.14,5,1
Andre Russell,2016-03-02,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",62,39,158.97,4,4
AB de Villiers,2016-03-02,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",49,26,188.46,5,3
Hardik Pandya,2016-03-02,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",29,19,152.63,2,1
KL Rahul,2016-03-05,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",37,24,154.17,3,1
Sanju Samson,2016-03-05,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",52,32,162.5,3,4
KL Rahul,2016-03-05,Mumbai Indians,"Eden Gardens, Kolkata",82,59,138.98,9,6
Ishan Kishan,2016-03-05,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",48,35,137.14,2,4
Virat Kohli,2016-03-08,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",53,40,132.5,5,2
Ishan Kishan,2016-03-08,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",53,41,129.27,4,4
Suresh Raina,2016-03-11,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",25,14,178.57,1,0
Quinton de Kock,2016-03-17,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",51,40,127.5,7,4
Ambati Rayudu,2016-03-17,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",7,3,233.33,0,0
Virat Kohli,2016-03-17,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",42,27,155.56,3,3
Hardik Pandya,2016-03-17,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",14,7,200.0,1,1
Sanju Samson,2016-03-20,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",74,54,137.04,6,5
Shubman Gill,2016-03-26,Chennai Super Kings,"Wankhede Stadium, Mumbai",46,30,153.33,4,1
Dinesh Karthik,2016-03-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",35,27,129.63,4,2
Rohit Sharma,2016-04-01,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",88,62,141.94,6,5
KL Rahul,2016-04-01,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",32,25,128.0,4,2
Ishan Kishan,2016-04-07,Delhi Capitals,"Eden Gardens, Kolkata",25,19,131.58,2,0
Rishabh Pant,2016-04-07,Delhi Capitals,"DY Patil Stadium, Mumbai",25,15,166.67,3,1
Dinesh Karthik,2016-04-07,Rajasthan Royals,"DY Patil Stadium, Mumbai",4,6,66.67,0,0
Faf du Plessis,2016-04-16,Royal Challengers Bangalore,"DY Patil Stadium, Mumbai",63,53,118.87,5,6
Hardik Pandya,2016-04-19,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",35,25,140.0,4,1
Dinesh Karthik,2016-04-19,Kolkata Knight Riders,"Eden Gardens, Kolkata",9,11,81.82,1,0
AB de Villiers,2016-04-19,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",24,17,141.18,1,2
Glenn Maxwell,2016-04-19,Mumbai Indians,"DY Patil Stadium, Mumbai",0,1,0.0,0,0
Rishabh Pant,2016-04-19,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",56,35,160.0,3,2
Ambati Rayudu,2016-04-25,Rajasthan Royals,"DY Patil Stadium, Mumbai",30,24,125.0,2,1
Rohit Sharma,2016-04-25,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",10,2,500.0,1,0
Suresh Raina,2016-04-25,Delhi Capitals,"DY Patil Stadium, Mumbai",29,18,161.11,1,2
MS Dhoni,2016-04-25,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",0,1,0.0,0,0
Kieron Pollard,2016-04-25,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",32,16,200.0,4,2
David Warner,2016-04-28,Rajasthan Royals,"IS Bindra Stadium, Mohali",18,14,128.57,1,1
Suresh Raina,2016-04-28,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",45,38,118.42,6,1
Faf du Plessis,2016-04-28,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",38,25,152.0,3,3
AB de Villiers,2016-05-01,Mumbai Indians,"DY Patil Stadium, Mumbai",47,25,188.0,4,3
